Kiril  | Ivanov   | C#
Stefka | Nikolova | SQL
Stela  | Mineva   | Java
Milena | Petrova  | C#
Ivan   | Grigorov | C#
Ivan   | Kolev    | SQL
Kiril  | Angelov  | C#
Stefka | Nikolova | SQL
Deny   | Mineva   | Java
Nelly  | Petrova  | C#
Stan   | Grigorov | C#
Peter  | Kolev    | SQL
Kiril  | Ivanov   | C#
Stefka | Nikolova | SQL
Stela  | Mineva   | Java
Milena | Petrova  | C#
Jannis | Grigorov | C#
Ivan   | Brazil   | SQL
Kiril  | Angelov  | C#
Stefka | Nikolova | SQL
Alicia | Mineva   | Java
Milena | Petrova  | C#
Ivan   | Borisov  | C#
John   | Kolev    | SQL
